"plot_name","xmin","ymin","xmax","ymax"
"2018_SJER_3_252000_4104000_image_628",252900.103,4104709.017,252908.312,4104722.857
"2018_SJER_3_252000_4104000_image_628",252897.055,4104709.526,252901.858,4104713.739
"2018_SJER_3_252000_4104000_image_628",252901.374,4104710.622,252903.368,4104712.85
"2018_SJER_3_252000_4104000_image_628",252879.644,4104694.05,252889.852,4104707.451
"2018_SJER_3_252000_4104000_image_628",252898.983,4104730.437,252904.02,4104733.943
"2018_SJER_3_252000_4104000_image_628",252902.05,4104727.23,252913.157,4104733.934
"2018_SJER_3_252000_4104000_image_628",252888.918,4104727.736,252896.119,4104733.932
"2018_SJER_3_252000_4104000_image_628",252894.842,4104729.861,252899.343,4104733.93
"2018_SJER_3_252000_4104000_image_628",252888.34,4104724.077,252902.164,4104732.873
"2018_SJER_3_252000_4104000_image_628",252878.735,4104726.322,252884.661,4104733.943
"2018_SJER_3_252000_4104000_image_628",252881.86,4104732.886,252883.466,4104733.933
"2018_SJER_3_252000_4104000_image_628",252874.806,4104731.019,252879.186,4104733.924
"2018_SJER_3_252000_4104000_image_628",252876.08,4104729.456,252879.181,4104733.147
"2018_SJER_3_252000_4104000_image_628",252887.817,4104723.422,252895.806,4104729.425
"2018_SJER_3_252000_4104000_image_628",252903.388,4104727.438,252905.987,4104728.495
"2018_SJER_3_252000_4104000_image_628",252901.256,4104716.262,252907.246,4104727.26
"2018_SJER_3_252000_4104000_image_628",252903.59,4104722.135,252912.574,4104729.36
"2018_SJER_3_252000_4104000_image_628",252887.785,4104719.366,252896.661,4104725.498
"2018_SJER_3_252000_4104000_image_628",252903.833,4104719.143,252907.718,4104722.104
"2018_SJER_3_252000_4104000_image_628",252907.855,4104701.387,252914.05,4104716.09
"2018_SJER_3_252000_4104000_image_628",252912.608,4104704.63,252914.046,4104709.554
"2018_SJER_3_252000_4104000_image_628",252907.174,4104718.3,252913.442,4104727.203
"2018_SJER_3_252000_4106000_image_234",252340.039,4106315.016,252343.953,4106315.945
"2018_SJER_3_252000_4106000_image_234",252338.108,4106313.323,252341.253,4106315.936
"2018_SJER_3_252000_4106000_image_234",252334.481,4106310.541,252340.574,4106315.949
"2018_SJER_3_252000_4106000_image_234",252335.898,4106276.056,252344.045,4106286.16
"2018_SJER_3_252000_4106000_image_234",252310.694,4106288.081,252321.162,4106297.209
"2018_SJER_3_252000_4106000_image_234",252308.895,4106292.549,252317.951,4106299.87
"2018_SJER_3_252000_4106000_image_234",252316.514,4106294.518,252322.68,4106306.814
"2018_SJER_3_252000_4106000_image_234",252311.35,4106295.688,252313.042,4106297.684
"2018_SJER_3_252000_4106000_image_234",252332.58,4106296.816,252342.7,4106302.847
"2018_SJER_3_252000_4106000_image_326",252474.453,4106886.834,252480.258,4106893.333
"2018_SJER_3_252000_4106000_image_326",252459.009,4106884.079,252470.175,4106894.019
"2018_SJER_3_252000_4106000_image_326",252476.119,4106884.052,252482.12,4106889.803
"2018_SJER_3_252000_4106000_image_326",252475.132,4106884.083,252478.072,4106885.605
"2018_SJER_3_252000_4106000_image_326",252455.977,4106892.954,252460.71,4106898.812
"2018_SJER_3_252000_4106000_image_326",252466.225,4106893.063,252474.347,4106898.939
"2018_SJER_3_252000_4106000_image_326",252457.007,4106895.246,252475.843,4106906.495
"2018_SJER_3_252000_4106000_image_326",252466.252,4106897.9,252475.201,4106908.322
"2018_SJER_3_252000_4106000_image_326",252472.116,4106898.292,252475.254,4106902.277
"2018_SJER_3_252000_4106000_image_326",252475.036,4106899.349,252485.261,4106912.642
"2018_SJER_3_252000_4106000_image_326",252458.001,4106903.483,252461.088,4106908.597
"2018_SJER_3_252000_4106000_image_326",252455.964,4106904.883,252464.498,4106919.721
"2018_SJER_3_252000_4106000_image_326",252471.601,4106904.362,252476.337,4106909.946
"2018_SJER_3_252000_4106000_image_326",252459.908,4106904.765,252467.462,4106913.214
"2018_SJER_3_252000_4106000_image_326",252461.052,4106906.796,252480.337,4106919.653
"2018_SJER_3_252000_4106000_image_326",252470.092,4106907.948,252472.114,4106909.611
"2018_SJER_3_252000_4106000_image_326",252472.543,4106907.923,252485.134,4106922.67
"2018_SJER_3_252000_4106000_image_326",252466.012,4106908.919,252473.408,4106920.141
"2018_SJER_3_252000_4106000_image_326",252472.534,4106908.36,252481.457,4106920.678
"2018_SJER_3_252000_4106000_image_326",252455.97,4106912.236,252461.519,4106918.474
"2018_SJER_3_252000_4106000_image_326",252469.019,4106914.08,252473.269,4106921.871
"2018_SJER_3_252000_4106000_image_326",252456.965,4106917.248,252463.264,4106920.842
"2018_SJER_3_252000_4106000_image_326",252472.445,4106919.617,252475.918,4106921.537
"2018_SJER_3_252000_4106000_image_326",252468.801,4106920.514,252476.405,4106923.934
"2018_SJER_3_252000_4106000_image_66",252077.365,4106507.952,252096.895,4106516.761
"2018_SJER_3_252000_4106000_image_66",252080.424,4106504.091,252087.599,4106509.95
"2018_SJER_3_252000_4106000_image_66",252089.334,4106504.081,252101.893,4106520.637
"2018_SJER_3_252000_4106000_image_66",252085.545,4106506.419,252093.287,4106510.324
"2018_SJER_3_252000_4106000_image_66",252091.574,4106504.049,252103.141,4106507.87
"2018_SJER_3_252000_4106000_image_66",252085.805,4106504.066,252091.899,4106507.248
"2018_SJER_3_252000_4106000_image_66",252075.968,4106504.049,252078.45,4106506.617
"2018_SJER_3_252000_4106000_image_66",252081.271,4106510.57,252093.411,4106523.379
"2018_SJER_3_252000_4107000_image_372",252495.099,4107167.911,252513.514,4107179.473
"2018_SJER_3_252000_4107000_image_372",252499.722,4107188.933,252504.966,4107198.628
"2018_SJER_3_252000_4107000_image_372",252501.315,4107162.054,252508.017,4107166.046
"2018_SJER_3_252000_4107000_image_372",252501.643,4107164.403,252508.968,4107169.496
"2018_SJER_3_252000_4107000_image_372",252500.621,4107172.805,252509.972,4107183.029
"2018_SJER_3_252000_4107000_image_372",252511.983,4107171.895,252528.751,4107190.831
"2018_SJER_3_252000_4107000_image_372",252501.498,4107180.439,252505.686,4107183.675
"2018_SJER_3_252000_4107000_image_372",252501.668,4107181.672,252511.735,4107190.985
"2018_SJER_3_252000_4107000_image_372",252500.63,4107182.426,252505.935,4107186.699
"2018_SJER_3_252000_4107000_image_372",252513.846,4107191.435,252519.002,4107195.083
"2018_SJER_3_252000_4107000_image_372",252500.143,4107197.616,252505.007,4107201.938
"2018_SJER_3_252000_4107000_image_372",252529.432,4107162.064,252534.025,4107169.505
"2018_SJER_3_252000_4107000_image_372",252523.735,4107162.057,252534.045,4107176.048
"2018_SJER_3_252000_4107000_image_477",252683.014,4107276.061,252686.024,4107279.444
"2018_SJER_3_252000_4107000_image_477",252680.72,4107278.461,252686.018,4107284.329
"2018_SJER_3_252000_4107000_image_477",252680.226,4107276.062,252683.3,4107279.008
"2018_SJER_3_252000_4107000_image_477",252675.99,4107278.725,252681.986,4107285.168
"2018_SJER_3_252000_4107000_image_477",252673.897,4107276.578,252681.614,4107281.364
"2018_SJER_3_252000_4107000_image_477",252671.124,4107277.067,252677.054,4107280.299
"2018_SJER_3_252000_4107000_image_477",252676.462,4107276.068,252679.183,4107278.548
"2018_SJER_3_252000_4107000_image_477",252668.855,4107276.05,252676.233,4107278.907
"2018_SJER_3_252000_4107000_image_477",252678.222,4107276.065,252680.109,4107276.727
"2018_SJER_3_252000_4107000_image_477",252645.963,4107307.913,252651.119,4107313.069
"2018_SJER_3_252000_4107000_image_477",252651.724,4107298.214,252662.886,4107312.265
"2018_SJER_3_252000_4107000_image_477",252646.16,4107299.672,252657.596,4107310.448
"2018_SJER_3_252000_4107000_image_477",252645.951,4107292.799,252655.769,4107309.59
"2018_SJER_3_252000_4107000_image_477",252645.952,4107304.669,252646.142,4107305.334
"2018_SJER_3_252000_4107000_image_477",252646.006,4107292.646,252651.546,4107295.768
